School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
HARRISON PREP SCHOOL,2016-17,Y,679,70.4,1.5,0.4,0.6,0.1,0.3,0.7,0.7,0.3,0.4,0.7,0.6,478,10,3,4,1,2,5,5,2,3,5,4,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Jun,N,Y,"8800 121ST ST SW
LAKEWOOD
(47.147609, -122.553471)"
HIGHLINE HIGH SCHOOL,2016-17,Y,1281,70.7,4.9,4.1,0.9,0,0,0.7,0.7,0.6,0.6,1.2,4.4,906,63,52,11,0,0,9,9,8,8,15,57,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"225 S 152ND ST
BURIEN
(47.46689, -122.330016)"
BORDEAUX ELEMENTARY SCHOOL,2016-17,Y,604,91.1,4.6,1,3.1,0.2,0.3,3.3,3,3.1,3.5,2.5,2.8,550,28,6,19,1,2,20,18,19,21,15,17,SHELTON SCHOOL DISTRICT,MASON,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N,"350 E. UNIVERSITY AVE.
SHELTON
(47.200811, -123.098863)"
CHINOOK MIDDLE SCHOOL,2016-17,Y,788,97.2,2.8,0.4,2.4,0,0,1.9,1.9,1.8,1.5,1.5,2.4,766,22,3,19,0,0,15,15,14,12,12,19,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,8-Jun,N,Y,"4891 W 27TH AVE
KENNEWICK
(46.184855, -119.186155)"
CHALLENGER ELEMENTARY,2016-17,Y,573,95.6,3.7,1.2,2.3,0.2,0,1.6,1.4,2.1,1.9,1.9,2.8,548,21,7,13,1,0,9,8,12,11,11,16,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"25200 SE KLAHANIE BLVD
ISSAQUAH
(47.576347, -122.003174)"
BELLEVUE CHRISTIAN MACK ELEMENTARY,2016-17,Y,193,90.2,9.3,2.1,7.3,0,0,5.7,5.7,6.7,6.7,6.7,6.7,174,18,4,14,0,0,11,11,13,13,13,13,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y,"18250 168TH PL NE
WOODINVILLE
(47.758709, -122.115338)"
FREEMAN ELEMENTARY SCHOOL,2016-17,Y,343,90.4,8.2,3.2,5,0,0,4.1,4.1,4.4,4.4,3.8,7.3,310,28,11,17,0,0,14,14,15,15,13,25,FREEMAN SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,"14917 S JACKSON RD
ROCKFORD
(47.516914, -117.195642)"
EASTLAKE HIGH SCHOOL,2016-17,Y,1783,85.8,5.1,1,4.4,0.1,0,2.6,2.5,2,2.1,2.1,2.9,1529,91,17,78,1,0,47,44,36,37,37,51,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"400 228TH NE
SAMMAMISH
(47.613699, -122.035381)"
GRANT ELEMENTARY,2016-17,Y,478,96.4,2.5,0.6,1,0.4,0.4,1.7,1.7,2.3,1.7,1.3,1.5,461,12,3,5,2,2,8,8,11,8,6,7,EPHRATA SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N,"451 3RD NW
EPHRATA
(47.133185, -119.492429)"
BUTLER ACRES ELEMENTARY,2016-17,Y,393,95.2,3.8,2.3,1.5,0,0,1.8,1.8,1.8,2.3,1.5,2.8,374,15,9,6,0,0,7,7,7,9,6,11,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"1609 BURCHAM ST
KELSO
(46.150014, -122.894598)"
CEDARCREST SCHOOL,2016-17,Y,814,86.5,5.9,1.5,4.4,0.1,0,3.2,2.7,3.3,3.6,2.2,4.9,704,48,12,36,1,0,26,22,27,29,18,40,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"6400 88TH ST NE
MARYSVILLE
(48.074588, -122.143384)"
RESTART LEADERSHIP ACADEMY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,SULTAN SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Aug,N,N,"30001 138TH PL SE
MONROE
(47.873148, -121.828086)"
JANE ADDAMS MIDDLE SCHOOL,2016-17,Y,932,81.7,7.8,4.3,4.7,0.2,0,2.5,2.4,3.1,2.3,4.1,7.3,761,73,40,44,2,0,23,22,29,21,38,68,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"11051 24TH AVE. NE
SEATTLE
(47.709834, -122.302803)"
NORTHWEST CHRISTIAN SCHOOL,2016-17,Y,136,89.7,10.3,2.2,8.1,0,0,9.6,9.6,9.6,9.6,10.3,9.6,122,14,3,11,0,0,13,13,13,13,14,13,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"904 SHAW RD
PUYALLUP
(47.183073, -122.256173)"
NINE MILE FALLS ELEMENTARY,2016-17,Y,152,85.5,11.2,1.3,9.2,0.7,0,7.2,7.2,7.2,7.2,6.6,10.5,130,17,2,14,1,0,11,11,11,11,10,16,NINE MILE FALLS SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -5,Y,N,"10102 W. CHARLES RD
NINE MILE FALLS
(47.779797, -117.551964)"
MOORLANDS ELEMENTARY,2016-17,Y,794,93.8,5.4,1.9,3.5,0,0,2.4,2.4,2.9,2.9,3.5,3.7,745,43,15,28,0,0,19,19,23,23,28,29,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"15115 84 AV NE
KENMORE
(47.738576, -122.22896)"
LAKE STICKNEY ELEMENTARY SCHOOL,2016-17,Y,666,88.3,4.7,0.6,3.9,0.2,0,2.1,2.1,2.1,2,2.4,4.5,588,31,4,26,1,0,14,14,14,13,16,30,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-5,Y,N,"1625 MADISON WAY
LYNNWOOD
(47.869981, -122.255771)"
LAMONT MIDDLE SCHOOL,2016-17,Y,30,96.7,3.3,0,3.3,0,0,3.3,3.3,0,0,0,0,29,1,0,1,0,0,1,1,0,0,0,0,LAMONT SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,8-May,N,Y,"602 MAIN STREET
LAMONT
(44.071343, -111.447261)"
LACEY ELEMENTARY,2016-17,Y,490,90.2,4.3,0.6,3.9,0,0,4.1,4.1,3.5,4.1,2.4,3.9,442,21,3,19,0,0,20,20,17,20,12,19,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"1800 HOMANN DR SE
LACEY
(47.030011, -122.8024)"
MOSES LAKE CHRISTIAN ACADEMY,2016-17,Y,141,72.3,8.5,0,8.5,0,0,7.8,7.8,7.8,7.8,8.5,7.8,102,12,0,12,0,0,11,11,11,11,12,11,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y,"1475 NELSON ROAD NE
MOSES LAKE
(47.11643, -119.252565)"
OAKLAND BAY JUNIOR HIGH SCHOOL,2016-17,Y,680,91.6,3.8,0.3,3.4,0.1,0,1.8,1.5,1.2,1.6,1.2,2.2,623,26,2,23,1,0,12,10,8,11,8,15,SHELTON SCHOOL DISTRICT,MASON,EDUCATIONAL SERVICE DISTRICT 113,9-Aug,N,N,"3301 SHELTON SPRINGS RD.
SHELTON
(47.235842, -123.119557)"
MARTIN LUTHER KING JR ELEMENTARY,2016-17,Y,614,98,1,0.8,0.2,0,0,0.3,0.7,0.5,0.7,0.2,0.8,602,6,5,1,0,0,2,4,3,4,1,5,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"2000 S 18TH ST
YAKIMA
(46.57351, -120.477719)"
LINCOLN ELEMENTARY,2016-17,Y,517,89.2,5.4,0.6,4.4,0.4,0,3.1,3.3,3.3,3.9,4.8,4.1,461,28,3,23,2,0,16,17,17,20,25,21,ELLENSBURG SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"200 S. SAMPSON
ELLENSBURG
(46.991509, -120.540233)"
KENDALL ELEMENTARY,2016-17,Y,443,81.5,14.4,1.8,11.3,1.8,0,11.1,10.6,12.2,11.5,11.5,12.6,361,64,8,50,8,0,49,47,54,51,51,56,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"7547 KENDALL RD
MAPLE FALLS
(48.917148, -122.141007)"
RAINIER BEACH HIGH SCHOOL,2016-17,Y,697,58.7,7.9,7.5,1.4,0,0,1.4,1.4,1,1.1,1.7,7.6,409,55,52,10,0,0,10,10,7,8,12,53,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"8815 SEWARD PARK AV S
SEATTLE
(47.523914, -122.264621)"
MONROE CHRISTIAN SCHOOL,2016-17,Y,92,93.5,6.5,2.2,3.3,1.1,0,5.4,4.3,5.4,5.4,4.3,5.4,86,6,2,3,1,0,5,4,5,5,4,5,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,"1009 W MAIN ST
MONROE
(47.851519, -121.98429)"
SALTARS POINT ELEMENTARY,2016-17,Y,427,94.8,3.7,1.4,2.3,0,0,2.6,2.6,2.6,3,2.1,2.8,405,16,6,10,0,0,11,11,11,13,9,12,STEILACOOM HIST. SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,5-Apr,N,N,"908 3RD STREET
STEILACOOM
(47.164209, -122.609308)"
LYNDEN HIGH SCHOOL,2016-17,Y,868,78.8,6.1,1.7,4.6,0.2,0,3.7,3.3,3.6,3.1,3.8,3.6,684,53,15,40,2,0,32,29,31,27,33,31,LYNDEN SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"1201 BRADLEY RD
LYNDEN
(48.953178, -122.427078)"
NORTH KITSAP HIGH SCHOOL,2016-17,Y,1154,92,7.7,1.4,6.4,0.2,0,4.7,4.1,4,3.4,4,5.5,1062,89,16,74,2,0,54,47,46,39,46,64,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,12-Sep,N,N,"1780 NE HOSTMARK
POULSBO
(47.733608, -122.625184)"
MANCHESTER ELEMENTARY SCHOOL,2016-17,Y,358,94.4,4.2,1.7,2.2,1.1,0,3.1,3.1,3.4,2.8,3.1,3.1,338,15,6,8,4,0,11,11,12,10,11,11,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y,"1901 CALIFORNIA AVE E
PORT ORCHARD
(47.551548, -122.556694)"
SEATTLE HILL ELEMENTARY,2016-17,Y,647,91.5,7,1.4,5.4,0.2,0,4.9,4.9,5.6,5.4,4.9,6.5,592,45,9,35,1,0,32,32,36,35,32,42,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"12711 51ST AVE SE
EVERETT
(47.881865, -122.163739)"
PALOUSE ELEMENTARY AND HIGH SCHOOL,2016-17,Y,93,62.4,16.1,1.1,12.9,1.1,1.1,14,12.9,12.9,12.9,14,12.9,58,15,1,12,1,1,13,12,12,12,13,12,GARFIELD PALOUSE SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y,"600 E ALDER STREET
PALOUSE
(46.912216, -117.071484)"
SANISLO ELEMENTARY SCHOOL,2016-17,Y,251,92,3.6,2.8,0.8,0,0,0,0,0.4,0.8,1.6,2.8,231,9,7,2,0,0,0,0,1,2,4,7,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"1812 SW MYRTLE ST
SEATTLE
(47.539141, -122.358948)"
JOHN STANFORD INTERNATIONAL ELEMENTARY,2016-17,Y,430,90.7,4.9,1.9,3.3,0.2,0,0.7,0.7,0.9,1.4,2.6,3.7,390,21,8,14,1,0,3,3,4,6,11,16,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"4057 5 AV NE
SEATTLE
(47.656885, -122.323477)"
SECONDARY OPTIONS,2016-17,Y,130,43.1,4.6,0.8,3.8,0,0,2.3,2.3,3.8,0.8,2.3,1.5,56,6,1,5,0,0,3,3,5,1,3,2,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,12-Aug,N,N,"7741 LITTLEROCK ROAD SW
OLYMPIA
(46.97519, -122.945458)"
LAKERIDGE ELEMENTARY SCHOOL,2016-17,Y,484,95.2,2.9,0.4,2.5,0,0,1.7,1.7,1.9,2.3,2.5,1.9,461,14,2,12,0,0,8,8,9,11,12,9,MERCER ISLAND SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"8215 SE 78TH
MERCER ISLAND
(47.532984, -122.228778)"
RAINIER CHRISTIAN SCHOOLS-KENT VIEW ELEMENTARY,2016-17,Y,134,84.3,2.2,0,2.2,0,0,2.2,2.2,3,2.2,4.5,5.2,113,3,0,3,0,0,3,3,4,3,6,7,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y,"20 49TH ST NE
AUBURN
(47.350524, -122.229697)"
SEATTLE WALDORF - THREE CEDARS,2016-17,Y,148,53.4,39.2,0,39.2,0,0,21.6,23.6,33.1,31.1,33.1,37.2,79,58,0,58,0,0,32,35,49,46,49,55,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,"556 124TH AVE NE
BELLEVUE
(47.615038, -122.174978)"
SARAH J ANDERSON ELEMENTARY,2016-17,Y,804,90.9,4.7,0.4,4.1,0.2,0,3.6,3.6,3.7,3.7,3.7,4.1,731,38,3,33,2,0,29,29,30,30,30,33,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"2215 NE 104TH ST
VANCOUVER
(45.696722, -122.649003)"
ROSA PARKS ELEMENTARY,2016-17,Y,643,94.9,4.2,1.6,3,0,0,2.2,2.2,2.3,2.6,3,2.3,610,27,10,19,0,0,14,14,15,17,19,15,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"22845 NE CEDAR PARK CRESCENT
REDMOND
(47.685754, -122.035104)"
KENROY ELEMENTARY,2016-17,Y,469,96.4,2.3,0.2,2.1,0,0,1.7,1.7,1.9,1.7,1.5,2.3,452,11,1,10,0,0,8,8,9,8,7,11,EASTMONT SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,"601 N. JONATHAN AVE.
EAST WENATCHEE
(47.414656, -120.26543)"
LARSON HEIGHTS ELEMENTARY,2016-17,Y,345,84.6,1.7,0,0.6,0.9,0.3,1.7,1.7,1.7,1.4,1.2,1.7,292,6,0,2,3,1,6,6,6,5,4,6,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,"700 LINDBERG LANE
MOSES LAKE
(47.167098, -119.32464)"
ORCAS ISLAND HIGH SCHOOL,2016-17,Y,124,58.9,15.3,0,15.3,0,0,10.5,4.8,8.1,8.9,11.3,14.5,73,19,0,19,0,0,13,6,10,11,14,18,ORCAS ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"715 SCHOOL RD
EASTSOUND
(48.69864, -122.901853)"
ROSE VALLEY ELEMENTARY,2016-17,Y,128,100,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"1502 ROSE VALLEY RD
KELSO
(46.098593, -122.826211)"
RIVERSIDE SDA CHRISTIAN SCHOOL,2016-17,Y,25,64,36,0,36,0,0,32,32,36,32,36,36,16,9,0,9,0,0,8,8,9,8,9,9,WASHOUGAL SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,P-8,Y,Y,"463 N SHEPHERD RD
WASHOUGAL
(45.589412, -122.368984)"
SANDBURG ELEMENTARY,2016-17,Y,452,92.7,6,1.1,4.6,0.4,0,2.7,2.7,4.2,4,4.9,5.1,419,27,5,21,2,0,12,12,19,18,22,23,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"12801 - 84TH AVE NE
KIRKLAND
(47.71517, -122.22948)"
MARYSVILLE COOP PROGRAM,2016-17,Y,283,82.7,13.1,3.2,9.2,0.7,0,10.6,10.6,10.6,11,9.5,12,234,37,9,26,2,0,30,30,30,31,27,34,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"2415 74TH ST NE
MARYSVILLE
(48.064269, -122.198094)"
PULLMAN CHRISTIAN SCHOOL,2016-17,Y,73,93.2,6.8,0,6.8,0,0,4.1,4.1,2.7,2.7,2.7,5.5,68,5,0,5,0,0,3,3,2,2,2,4,PULLMAN SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K-12,Y,Y,"345 SW KIMBALL
PULLMAN
(46.723334, -117.187657)"
ORCAS CHRISTIAN SCHOOL,2016-17,Y,77,42.9,46.8,0,46.8,0,0,42.9,42.9,45.5,44.2,39,19.5,33,36,0,36,0,0,33,33,35,34,30,15,ORCAS ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y,"107 ENCHANTED FOREST RD
EASTSOUND
(48.699466, -122.908121)"
INGLEMOOR HIGH SCHOOL,2016-17,Y,1391,88.1,5.4,1.1,4,0.3,0.2,2.7,2.7,2.1,2.1,2.7,3.4,1226,75,15,56,4,3,37,37,29,29,38,47,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Oct,N,N,"15500 SIMONDS RD NE
KENMORE
(47.740532, -122.224489)"
RUTH LIVINGSTON ELEMENTARY,2016-17,Y,825,97,3,1.2,1.8,0,0,1.2,1.1,1.6,1.5,2.2,1.9,800,25,10,15,0,0,10,9,13,12,18,16,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"2515 ROAD 84
PASCO
(46.251124, -119.201009)"
LIBERTY CHRISTIAN SCHOOL,2016-17,Y,378,94.4,5.6,0.3,4.2,1.3,0,5.6,5.6,4.5,5,4.5,5.6,357,21,1,16,5,0,21,21,17,19,17,21,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-12,Y,Y,"2200 WILLIAMS BLVD
RICHLAND
(46.28578, -119.298457)"
NORTH BEACH ELEMENTARY SCHOOL,2016-17,Y,320,90,9.7,2.2,7.2,0.3,0,5.3,5.3,5.3,6.6,7.8,7.2,288,31,7,23,1,0,17,17,17,21,25,23,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"9018 24 AV NW
SEATTLE
(47.695597, -122.38758)"
LARCHMONT ELEMENTARY SCHOOL,2016-17,Y,355,96.3,2,1.4,0.6,0,0,1.4,0.6,1.4,1.4,1.1,1.7,342,7,5,2,0,0,5,2,5,5,4,6,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"8601 E B ST
TACOMA
(47.179074, -122.428863)"
KINGSPOINT CHRISTIAN SCHOOL,2016-17,Y,97,70.1,10.3,5.2,5.2,0,0,10.3,9.3,10.3,9.3,8.2,10.3,68,10,5,5,0,0,10,9,10,9,8,10,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K-12,Y,Y,"7900 W COURT ST
PASCO
(46.24192, -119.195373)"
NORTH LAKE MIDDLE SCHOOL,2016-17,Y,773,81.8,5.7,0.4,5.2,0.3,0.1,3.9,3.1,3.8,3.8,2.7,4.3,632,44,3,40,2,1,30,24,29,29,21,33,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-Jun,N,Y,"2202 123RD AVE NE
LAKE STEVENS
(48.019621, -122.065006)"
JUANITA HIGH,2016-17,Y,1518,82,6.7,1.1,5.5,0.5,0.1,3.8,3.4,2.8,3.1,3.6,4.2,1245,102,16,83,8,1,58,52,43,47,55,64,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"10601 NE 132ND
KIRKLAND
(47.719041, -122.19795)"
MADISON ELEMENTARY,2016-17,Y,367,95.1,4.9,1.6,3,0.5,0,2.5,2.5,2.5,2.7,1.9,4.1,349,18,6,11,2,0,9,9,9,10,7,15,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"319 W NEBRASKA AVE
SPOKANE
(47.708797, -117.415104)"
LIBERTY RIDGE ELEMENTARY,2016-17,Y,419,91.9,6,3.3,2.4,0.2,0,4.8,4.8,4.5,4.5,4.3,4.5,385,25,14,10,1,0,20,20,19,19,18,19,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"12202 209TH AVE CT E
SUMNER
(47.145511, -122.150897)"
R E BENNETT ELEMENTARY,2016-17,Y,409,91.7,4.6,2,2,0.7,0,2.9,2.9,2.9,2.9,3.7,3.9,375,19,8,8,3,0,12,12,12,12,15,16,CHEHALIS SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,3-Feb,N,N,"233 SOUTH MARKET BLVD
CHEHALIS
(46.660106, -122.961948)"
KELSO HIGH SCHOOL,2016-17,Y,1601,96.2,3.1,0.4,2.3,0.4,0.1,1.7,1.6,1.7,1.2,1.1,2.1,1540,50,6,37,6,2,27,25,28,20,17,34,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,12-Sep,N,N,"1904 ALLEN ST
KELSO
(46.144855, -122.890111)"
KOKANEE ELEMENTARY,2016-17,Y,768,91.7,4.4,0.4,3.9,0.1,0,2.7,2.7,3.5,3.1,3.4,3.6,704,34,3,30,1,0,21,21,27,24,26,28,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"23710 57 AV SE
WOODINVILLE
(47.780694, -122.157999)"
NORTH MASON SENIOR HIGH SCHOOL,2016-17,Y,750,74.1,5.6,0.8,4.8,0.3,0,3.7,3.5,2.9,2.9,2.9,3.9,556,42,6,36,2,0,28,26,22,22,22,29,NORTH MASON SCHOOL DISTRICT,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,12-Sep,N,N,"200 E. CAMPUS DR.
BELFAIR
(47.414593, -122.84401)"
MADRONA SCHOOL,2016-17,Y,130,55.4,44.6,0,37.7,0,6.9,34.6,35.4,36.9,36.9,40.8,40.8,72,58,0,49,0,9,45,46,48,48,53,53,BAINBRIDGE ISLAND SCHOOL DISTRICT,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"219 MADISON AVE N
BAINBRIDGE ISLAND
(47.625826, -122.521015)"
LAKE WILDERNESS ELEMENTARY,2016-17,Y,1093,96.2,3.5,0.2,3.2,0.1,0,2.1,2.1,2.6,2.5,2.5,2.9,1052,38,2,35,1,0,23,23,28,27,27,32,TAHOMA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"24216 WITTE ROAD SE
MAPLE VALLEY
(47.384355, -122.048064)"
INTERNATIONAL COMMUNITY SCHOOL,2016-17,Y,439,83.4,5.9,3.2,3,0,0,0.9,1.1,1.6,1.1,2.3,2.7,366,26,14,13,0,0,4,5,7,5,10,12,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Jul,N,N,"11133 NE 65TH ST
KIRKLAND
(47.664679, -122.19128)"
MONROE HIGH SCHOOL,2016-17,Y,1717,91.2,6.8,1.4,5.3,0.6,0.1,3.8,3.2,3.4,3.3,3.7,4.2,1566,117,24,91,11,2,65,55,59,56,63,72,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"17001 TESTER RD.
MONROE
(47.844906, -122.011625)"
NORTHWOOD MIDDLE SCHOOL,2016-17,Y,768,90.4,5.3,0.4,5.1,0.1,0,3,3,2.2,2.2,2.1,4.3,694,41,3,39,1,0,23,23,17,17,16,33,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,8-Jul,N,N,"13120 N PITTSBURG
SPOKANE
(47.775931, -117.384392)"
OROVILLE ELEMENTARY,2016-17,Y,301,88.7,6.6,0.7,6,0,0,1.7,1.7,2,1.7,2,6,267,20,2,18,0,0,5,5,6,5,6,18,OROVILLE SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-6,Y,Y,"816 JUNIPER
OROVILLE
(48.932825, -119.439584)"
